State,above200,below200,all,tax
AK,0.0396,0.0656,0.0643,0
AL,0.0216,0.0277,0.0275,1
AR,0.0271,0.0305,0.0304,1
AZ,0.0309,0.0370,0.0367,1
CA,0.0198,0.0213,0.0212,2
CO,0.0280,0.0431,0.0421,1
CT,0.0340,0.0336,0.0336,2
DE,0.0384,0.0414,0.0413,2
FL,0.0251,0.0323,0.0320,0
GA,0.0274,0.0346,0.0342,1
HI,0.0332,0.0509,0.0503,2
IA,0.0229,0.0275,0.0274,2
ID,0.0270,0.0399,0.0394,1
IL,0.0315,0.0278,0.0280,2
IN,0.0255,0.0248,0.0248,1
KS,0.0278,0.0397,0.0392,1
KY,0.0275,0.0287,0.0286,2
LA,0.0224,0.0283,0.0281,1
MA,0.0241,0.0306,0.0300,2
MD,0.0295,0.0387,0.0380,2
ME,0.0301,0.0267,0.0268,2
MI,0.0210,0.0196,0.0197,1
MN,0.0215,0.0230,0.0229,2
MO,0.0272,0.0292,0.0292,1
MS,0.0250,0.0317,0.0315,1
MT,0.0260,0.0384,0.0380,1
NC,0.0258,0.0330,0.0327,1
ND,0.0244,0.0536,0.0522,1
NE,0.0233,0.0307,0.0304,1
NH,0.0303,0.0396,0.0391,0
NJ,0.0284,0.0315,0.0313,2
NM,0.0409,0.0407,0.0408,1
NV,0.0397,0.0460,0.0458,0
NY,0.0344,0.0291,0.0295,2
OH,0.0258,0.0204,0.0206,1
OK,0.0233,0.0304,0.0301,1
OR,0.0282,0.0346,0.0343,2
PA,0.0245,0.0231,0.0232,1
RI,0.0340,0.0373,0.0372,2
SC,0.0283,0.0343,0.0341,1
SD,0.0230,0.0387,0.0381,0
TN,0.0264,0.0317,0.0315,0
TX,0.0197,0.0227,0.0226,0
UT,0.0248,0.0331,0.0327,1
VA,0.0315,0.0415,0.0408,1
VT,0.0373,0.0378,0.0378,2
WA,0.0255,0.0338,0.0332,0
WI,0.0236,0.0217,0.0218,2
WV,0.0346,0.0305,0.0306,2
WY,0.0377,0.0593,0.0584,0
